bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
246	WS	257794	79990	46856	33790	27210	21924	18015	15163	13041	11250	9574	7982	6890	5941	5118	4624	3822	3638	3513
247	Neutre	284324	86178	49675	36411	28406	23289	19045	16122	13388	11690	9995	8372	7325	6021	5290	4560	4074	3624	3608
247	SW	362351	107509	61903	44776	34953	28816	23271	19544	16359	14527	11806	9786	8489	7287	6306	5349	4832	4453	4200
247	WS	257746	80129	46589	34184	27338	21985	18003	14996	12859	11355	9491	7870	6995	5781	5329	4556	3898	3719	3689
248	Neutre	285046	84967	49918	36068	28681	23255	18902	16029	13526	11760	10137	8390	7118	6014	5242	4600	4103	3718	3708
248	SW	363420	107194	62186	44824	34863	28366	23280	19435	16470	14414	11744	9927	8503	7106	6239	5396	4990	4449	4125
248	WS	256905	80408	46814	34031	27135	22292	17871	15218	12890	11401	9724	8025	6812	5923	5163	4582	3875	3619	3657
249	Neutre	284710	85936	49630	35927	28651	23383	19214	15831	13381	11410	10123	8304	7331	5918	5359	4383	4123	3806	3537
249	SW	363398	107203	61580	44643	35055	28690	23518	19621	16347	14418	11899	9858	8695	7234	6263	5519	4878	4377	4169
249	WS	257004	80210	46633	34073	27316	22143	18055	15179	13001	11519	9497	8014	6706	5939	5071	4528	3949	3612	3579
250	Neutre	284136	86008	49626	36470	28361	23059	19261	16355	13274	11552	10302	8436	7224	6051	5091	4484	4159	3738	3685
250	SW	363487	107316	61838	44679	35226	28378	23305	19622	16565	14278	12074	9994	8493	7191	6242	5371	4851	4373	4127
250	WS	256958	80116	46593	34129	27183	21935	17948	15269	12842	11441	9659	8012	6869	5781	5088	4570	3969	3650	3651
251	Neutre	284046	86207	49356	36651	28676	23262	19443	16172	13427	11477	10047	8391	7253	5801	5128	4448	4013	3656	3663
251	SW	363179	107312	61602	44770	34982	28875	23282	19668	16255	14681	11980	9866	8517	7206	6223	5428	4782	4320	4198
251	WS	256934	79747	47141	34351	27434	22202	18127	15052	12947	11083	9526	7849	6857	5970	5143	4564	3914	3617	3660
252	Neutre	284629	85635	49230	36244	28342	23172	19338	16109	13602	11434	10044	8328	7345	5892	5270	4614	4100	3617	3733
252	SW	362674	108305	61752	44399	34517	28344	23509	19493	16659	14455	11851	9801	8405	7211	6328	5525	4752	4418	4253
252	WS	257903	79861	46828	34190	27513	21959	18159	14979	13306	11412	9597	7824	6934	5915	5031	4623	3871	3693	3697
253	Neutre	284421	85867	49441	36453	28606	23328	19024	16168	13379	11494	10209	8248	7486	5852	5134	4542	3977	3736	3629
253	SW	362777	108015	61479	44616	34774	28658	23141	19455	16385	14408	11991	9926	8578	7329	6339	5357	4837	4345	4244
253	WS	257017	79889	46937	34053	27147	22220	18069	15271	13183	11182	9534	8059	7099	5980	5182	4705	3918	3651	3641
254	Neutre	284139	86128	49669	36220	28763	23384	19200	15961	13496	11392	10054	8316	7516	5887	5180	4463	3929	3668	3605
254	SW	363111	107496	62013	44800	34997	28556	23141	19488	16412	14419	11865	10054	8411	7193	6217	5488	4812	4285	4296
254	WS	257846	80220	46682	33668	27495	21957	17792	15241	12977	11256	9701	7803	6856	5952	5134	4647	3995	3598	3731
255	Neutre	283472	85315	49734	36345	28556	23283	19306	16211	13375	11439	10015	8402	7180	5989	5125	4555	3993	3748	3572
255	SW	363893	107671	61497	44633	35406	28352	23292	19384	16710	14253	12130	9917	8620	7236	6272	5456	4852	4471	4178
255	WS	257794	80270	46750	34018	27198	21973	18115	15116	13143	11335	9399	7910	6905	5806	5133	4435	3778	3608	3714
256	Neutre	283409	86311	49601	36186	28483	23160	19365	16218	13273	11690	9991	8261	7291	5891	5265	4516	4100	3746	3594
256	SW	364352	107660	61905	44241	34935	28739	23310	19486	16465	14565	12133	9857	8615	7008	6413	5352	4832	4272	4250
256	WS	257600	79752	46597	33986	27169	22028	17974	15206	12868	11467	9442	7846	6810	5849	5141	4636	3927	3662	3719
257	Neutre	284817	85642	50023	36034	28624	22976	19126	16151	13436	11445	10004	8246	7182	5942	5233	4615	4104	3714	3551
