region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_41	0.307513	134825	41463	4396	1302.75	0.00520198	250434	77015	52785	14799.1	0.00757398	1953945	600858	0.00688347	100044	3845	121880	5284	Neutre	2868	842	505	363	300	223	188	156	124	125	120	86	69	53	44	51	34	38	32
C_41	0.307513	134825	41463	4396	1302.75	0.00520198	250434	77015	52785	14799.1	0.00757398	1953945	600858	0.00688347	100044	3845	121880	5284	SW	3518	1066	633	406	345	267	249	192	148	120	124	96	87	63	52	52	49	45	35
C_41	0.307513	134825	41463	4396	1302.75	0.00520198	250434	77015	52785	14799.1	0.00757398	1953945	600858	0.00688347	100044	3845	121880	5284	WS	2655	833	506	367	261	223	179	155	122	146	82	77	63	64	60	44	34	37	29
C_42	0.308479	114411	35294	4365	1314.33	0.0055582	236467	72947	53486	14960.4	0.00773369	1934444	596733	0.00712142	98008	3760	124062	4940	Neutre	2911	894	533	373	282	265	195	152	110	118	118	81	65	70	39	46	37	33	25
C_42	0.308479	114411	35294	4365	1314.33	0.0055582	236467	72947	53486	14960.4	0.00773369	1934444	596733	0.00712142	98008	3760	124062	4940	SW	3565	1040	627	445	352	258	202	190	149	136	124	82	71	79	54	57	48	50	46
C_42	0.308479	114411	35294	4365	1314.33	0.0055582	236467	72947	53486	14960.4	0.00773369	1934444	596733	0.00712142	98008	3760	124062	4940	WS	2656	833	435	333	295	231	171	149	135	123	106	59	80	55	50	39	36	33	43
C_43	0.309445	117426	36335	4272	1302.36	0.00576951	225732	69853	52398	14588.5	0.00736973	1979518	612553	0.00684162	91437	3796	110647	4880	Neutre	2821	807	547	379	276	228	191	176	135	108	91	89	73	60	48	45	45	42	42
C_43	0.309445	117426	36335	4272	1302.36	0.00576951	225732	69853	52398	14588.5	0.00736973	1979518	612553	0.00684162	91437	3796	110647	4880	SW	3700	981	647	461	287	267	260	191	158	141	111	93	76	78	60	69	62	46	40
C_43	0.309445	117426	36335	4272	1302.36	0.00576951	225732	69853	52398	14588.5	0.00736973	1979518	612553	0.00684162	91437	3796	110647	4880	WS	2631	774	469	356	285	211	186	152	131	122	85	63	73	68	53	39	41	39	37
C_44	0.31042	133882	41564	4570	1387.53	0.0057236	242422	75265	53158	14777.3	0.0075221	1964521	609810	0.00690561	113044	3836	143216	5042	Neutre	2835	855	547	359	264	293	197	162	150	110	71	66	66	58	43	44	36	29	41
C_44	0.31042	133882	41564	4570	1387.53	0.0057236	242422	75265	53158	14777.3	0.0075221	1964521	609810	0.00690561	113044	3836	143216	5042	SW	3676	1035	568	464	340	312	214	196	157	150	92	77	84	66	63	69	36	42	45
C_44	0.31042	133882	41564	4570	1387.53	0.0057236	242422	75265	53158	14777.3	0.0075221	1964521	609810	0.00690561	113044	3836	143216	5042	WS	2667	795	470	339	268	239	160	158	136	113	89	94	68	58	52	45	33	39	36
C_45	0.311383	129684	40385	4579	1405.62	0.00572356	245585	76469	53463	15012.6	0.00764813	1962917	611218	0.00702178	89895	3712	111376	4893	Neutre	2926	860	475	343	325	220	185	170	143	135	91	88	61	63	55	38	47	36	22
C_45	0.311383	129684	40385	4579	1405.62	0.00572356	245585	76469	53463	15012.6	0.00764813	1962917	611218	0.00702178	89895	3712	111376	4893	SW	3517	1067	636	457	343	299	219	173	166	122	117	99	94	74	74	47	43	29	34
C_45	0.311383	129684	40385	4579	1405.62	0.00572356	245585	76469	53463	15012.6	0.00764813	1962917	611218	0.00702178	89895	3712	111376	4893	WS	2546	785	480	367	261	224	177	184	162	101	93	91	91	72	60	47	30	40	28
C_46	0.312317	126519	39517	4444	1372.5	0.00592415	231679	72362	52539	14661.6	0.00758848	1932091	603418	0.00700091	83793	3711	116118	4935	Neutre	2848	772	519	384	264	238	190	129	133	108	102	77	53	50	50	36	37	41	40
C_46	0.312317	126519	39517	4444	1372.5	0.00592415	231679	72362	52539	14661.6	0.00758848	1932091	603418	0.00700091	83793	3711	116118	4935	SW	3677	1029	609	451	341	269	228	213	137	151	120	97	91	55	73	60	51	60	56
C_46	0.312317	126519	39517	4444	1372.5	0.00592415	231679	72362	52539	14661.6	0.00758848	1932091	603418	0.00700091	83793	3711	116118	4935	WS	2649	835	507	326	292	217	175	140	128	115	91	85	60	62	45	56	37	42	39
C_47	0.313275	127762	40026	4564	1416.58	0.00587334	241188	75559	53344	14858.6	0.00770714	1927898	603961	0.00708588	91700	3756	111014	4841	Neutre	2881	876	506	390	292	231	192	177	160	108	120	82	74	72	46	48	46	51	34
C_47	0.313275	127762	40026	4564	1416.58	0.00587334	241188	75559	53344	14858.6	0.00770714	1927898	603961	0.00708588	91700	3756	111014	4841	SW	3467	1092	550	464	358	279	244	183	169	132	98	105	80	76	72	55	45	45	41
C_47	0.313275	127762	40026	4564	1416.58	0.00587334	241188	75559	53344	14858.6	0.00770714	1927898	603961	0.00708588	91700	3756	111014	4841	WS	2548	835	445	348	288	217	204	153	135	101	104	99	73	59	47	44	50	39	32
C_48	0.314269	123698	38874	4231	1313.83	0.00567692	231434	72735	52649	14676.2	0.00737372	1990338	625499	0.00681741	98256	3810	115402	4895	Neutre	2821	885	481	354	284	204	193	177	129	111	87	82	84	75	43	53	55	40	39
C_48	0.314269	123698	38874	4231	1313.83	0.00567692	231434	72735	52649	14676.2	0.00737372	1990338	625499	0.00681741	98256	3810	115402	4895	SW	3696	1092	596	450	317	248	249	196	154	150	98	90	84	64	65	61	49	38	28
C_48	0.314269	123698	38874	4231	1313.83	0.00567692	231434	72735	52649	14676.2	0.00737372	1990338	625499	0.00681741	98256	3810	115402	4895	WS	2561	883	480	330	270	215	181	141	140	113	71	83	78	50	60	41	46	43	38
C_49	0.315253	141358	44576	4704	1436.1	0.00612258	234557	73956	52433	14731.9	0.0075451	1952513	615513	0.00694374	92652	3687	129508	5451	Neutre	2885	868	512	342	320	220	197	152	130	104	95	82	77	69	55	62	42	38	30
C_49	0.315253	141358	44576	4704	1436.1	0.00612258	234557	73956	52433	14731.9	0.0075451	1952513	615513	0.00694374	92652	3687	129508	5451	SW	3509	1048	613	425	392	297	240	186	164	141	129	94	82	63	66	38	48	32	35
C_49	0.315253	141358	44576	4704	1436.1	0.00612258	234557	73956	52433	14731.9	0.0075451	1952513	615513	0.00694374	92652	3687	129508	5451	WS	2565	833	451	350	283	222	181	176	155	108	100	90	61	73	44	45	50	39	32
